City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,havre-saint-pierre,50.2334,-63.5986,-11.0,85,100,1.54,CA,1675648267
316,margate,51.3813,1.3862,5.5,89,66,1.34,GB,1675648059
317,gualaquiza,-3.4,-78.55,17.7,98,80,0.81,EC,1675648268
318,codrington,-38.2667,141.9667,19.03,58,79,4.41,AU,1675648268
319,calama,-22.4667,-68.9333,15.27,82,40,6.69,CL,1675648268
320,san jose,37.3394,-121.895,11.11,79,75,6.17,US,1675647576
321,nevel,56.0209,29.9284,-8.21,92,100,3.21,RU,1675648269
322,vila franca do campo,37.7167,-25.4333,15.23,81,88,3.62,PT,1675648269
323,bodden town,19.2833,-81.25,26.11,75,20,1.54,KY,1675648269
324,mporokoso,-9.3727,30.125,14.72,96,90,0.73,ZM,1675648270
325,tuljapur,18.0,76.0833,19.98,27,6,3.18,IN,1675648270
326,luau,-10.7073,22.2247,17.15,98,100,1.31,AO,1675648271
327,chapais,49.7834,-74.8492,-18.12,98,100,1.98,CA,1675648271
328,hofn,64.2539,-15.2082,6.09,84,100,14.14,IS,1675648271
329,port keats,-14.25,129.55,31.7,44,93,1.76,AU,1675648271
330,mount isa,-20.7333,139.5,28.87,70,100,4.63,AU,1675648272
331,soe,-9.8607,124.284,24.05,75,70,0.4,ID,1675648272
332,penticton,49.4806,-119.5858,5.41,86,40,9.26,CA,1675648272
333,black river,18.0264,-77.8487,23.42,79,0,0.88,JM,1675648273
334,north bend,43.4065,-124.2243,8.37,93,100,7.2,US,1675648273
335,ballina,-28.8667,153.5667,29.45,64,87,3.87,AU,1675648273
336,hami,42.8,93.45,-0.84,39,11,2.26,CN,1675648274
337,playa vicente,17.8333,-95.8167,20.19,78,95,2.39,MX,1675648274
338,camocim,-2.9022,-40.8411,24.68,90,28,3.42,BR,1675648274
339,barao de melgaco,-16.1944,-55.9675,23.78,84,29,0.74,BR,1675648275
340,nikolskoye,59.7035,30.7861,-3.06,95,100,2.7,RU,1675648270
341,luanda,-8.8368,13.2343,26.0,83,75,2.57,AO,1675648275
342,semey,50.4111,80.2275,-3.88,86,100,5.0,KZ,1675648275
343,nemuro,43.3236,145.575,-2.08,71,100,1.88,JP,1675648276
344,tacuati,-23.45,-56.5833,22.97,67,51,0.99,PY,1675648276
345,nishihara,26.1842,127.7558,20.6,91,100,6.17,JP,1675648277
346,ancud,-41.8697,-73.8203,13.04,81,66,2.16,CL,1675648277
347,pilar,-9.5972,-35.9567,23.96,91,24,1.26,BR,1675648277
348,mayo,38.8876,-76.5119,11.23,75,0,4.12,US,1675648278
349,tukan,53.8409,57.4552,-18.8,100,100,0.89,RU,1675648278
350,taltal,-25.4,-70.4833,21.83,78,2,0.61,CL,1675648278
351,nantucket,41.2835,-70.0995,6.75,86,40,3.6,US,1675648279
352,foumban,5.7291,10.9001,18.22,33,24,1.25,CM,1675648279
353,mineral wells,32.8085,-98.1128,17.11,42,0,3.09,US,1675648279
354,belmonte,-15.8631,-38.8828,25.95,82,0,4.03,BR,1675648125
355,wahpeton,46.2652,-96.6059,-9.48,85,40,2.57,US,1675648280
356,cabinda,-5.55,12.2,25.18,88,75,1.91,AO,1675648280
357,rusape,-18.5278,32.1284,14.15,95,5,0.21,ZW,1675648280
358,leesburg,39.1157,-77.5636,10.91,50,0,3.6,US,1675648281
359,aden,12.7794,45.0367,23.64,73,76,4.44,YE,1675648281
360,mombasa,-4.0547,39.6636,23.44,87,18,2.32,KE,1675648281
361,chapleau,47.8405,-83.4034,-13.95,78,100,4.12,CA,1675648080
362,humberto de campos,-2.5983,-43.4611,23.88,94,85,2.0,BR,1675648282
363,abu samrah,35.3029,37.1841,7.6,80,65,4.83,SY,1675648282
364,sur,22.5667,59.5289,20.83,69,6,2.38,OM,1675648282
365,puerto escondido,15.85,-97.0667,24.9,73,0,1.93,MX,1675648283
366,dvurechensk,56.5982,61.0953,-9.79,99,87,1.17,RU,1675648283
367,pangnirtung,66.1451,-65.7125,-37.47,93,98,2.17,CA,1675648283
368,upernavik,72.7868,-56.1549,-25.57,95,100,3.53,GL,1675648203
369,nsanje,-16.92,35.262,23.33,95,100,1.41,MW,1675648284
370,vostok,46.4856,135.8833,-13.9,78,61,2.17,RU,1675648284
371,lyuban,52.7985,28.0048,-5.27,92,100,2.53,BY,1675648284
372,paragominas,-2.9667,-47.4833,22.09,98,69,1.23,BR,1675648284
373,naze,28.3667,129.4833,17.51,90,100,5.84,JP,1675648285
374,faanui,-16.4833,-151.75,27.35,76,7,6.9,PF,1675648285
375,kahului,20.8947,-156.47,27.2,73,20,9.77,US,1675648285
